group,state,ko,catalog_seed,tier,safety,notes,metadata_move_name,metadata_filename,duration_frames,package,category,take_name,actor,actual_bvh_path,actual_bvh_exists,metadata_g1_path,metadata_g1_exists,actual_bvh_stem,alias_from_catalog_seed,short_description,natural_description
C,MimicPresentLeft,왼쪽 안내,present_left_R_001__A428,1,safe,slot 8; first_cohort,present_left_R_001__A428,present_left_R_001__A428,670,Communication,Gestures,present_left_R_001,A428,seed/soma_uniform/bvh/230713/present_left_R_001__A428.bvh,true,seed/g1/csv/230713/present_left_R_001__A428.csv,false,present_left_R_001__A428,false,presenting something to the left,"The person raises their hands to present something to the left with a slight jerk, then lowers them."
C,MimicPresentRight,오른쪽 안내,present_right_R_001__A428,1,safe,slot 9; verify_alias_before_training,present_right_R_001__A428,desperate_prayer_R_002__A428,651,Communication,Gestures,present_right_R_001,A428,seed/soma_uniform/bvh/230713/desperate_prayer_R_002__A428.bvh,true,seed/g1/csv/230713/desperate_prayer_R_002__A428.csv,false,desperate_prayer_R_002__A428,true,presenting something to the right,A person swiftly extends their arms to the right while presenting something.
C,MimicPointDirection,방향 지시,point_dir_horizontal_right_hand_315_head_front_R_004__A031,2,safe,,point_dir_horizontal_right_hand_315_head_front_R_004__A031,point_direction_horizontal_right_hand_315_head_front_004__A031,617,Communication,Looking and Pointing,point_dir_horizontal_right_hand_315_head_front_R_004,A031,seed/soma_uniform/bvh/220720/point_direction_horizontal_right_hand_315_head_front_004__A031.bvh,true,seed/g1/csv/220720/point_direction_horizontal_right_hand_315_head_front_004__A031.csv,false,point_direction_horizontal_right_hand_315_head_front_004__A031,true,"horizontally pointing to the right back diagonal using the right hand, while facing forward",A person raises their right hand and points at the back.
C,MimicDontComeCloser,오지 마세요,dont_come_any_closer_both_hands_R_002__A456,1,safe,,dont_come_any_closer_both_hands_R_002__A456,dont_come_any_closer_both_hands_R_002__A456,997,Communication,Gestures,dont_come_any_closer_both_hands_R_002,A456,seed/soma_uniform/bvh/231004/dont_come_any_closer_both_hands_R_002__A456.bvh,true,seed/g1/csv/231004/dont_come_any_closer_both_hands_R_002__A456.csv,false,dont_come_any_closer_both_hands_R_002__A456,false,don't come any closure with both hands,A person blocks someone by extending their arms away from the body and then stands idle.
C,MimicCalmDown,진정하세요,calm_down_R_001__A432,1,safe,first_cohort,calm_down_R_001__A432,calm_down_R_001__A432,802,Communication,Gestures,calm_down_R_001,A432,seed/soma_uniform/bvh/230713/calm_down_R_001__A432.bvh,true,seed/g1/csv/230713/calm_down_R_001__A432.csv,false,calm_down_R_001__A432,false,calming down gesture,The person makes a calm-down gesture with both hands.
C,MimicQuiet,조용히,no_speak_001__A097,2,safe,,no_speak_001__A097,no_speak_001__A097,480,Communication,Gestures,no_speak_001,A097,seed/soma_uniform/bvh/230103/no_speak_001__A097.bvh,true,seed/g1/csv/230103/no_speak_001__A097.csv,false,no_speak_001__A097,false,not speaking,"A person, standing upright, quickly covers their mouth with both hands, indicating they won't speak."
D,MimicHighFive,하이파이브,high_five_crowd_R_001__A432,2,caution,slot 12; contact,high_five_crowd_R_001__A432,hifive_crowd_R_001__A432,619,Communication,Communication,high_five_crowd_R_001,A432,seed/soma_uniform/bvh/230713/hifive_crowd_R_001__A432.bvh,true,seed/g1/csv/230713/hifive_crowd_R_001__A432.csv,false,hifive_crowd_R_001__A432,true,high five crowd,A person enthusiastically raises their hands in the air and high-fives the crowd.
D,MimicSseSseSse,쎄쎄쎄,anse_kabanse_R_001__A459,2,caution,contact,anse_kabanse_R_001__A459,anse_kabanse_R_001__A459,937,Communication,Gestures,anse_kabanse_R_001,A459,seed/soma_uniform/bvh/231004/anse_kabanse_R_001__A459.bvh,true,seed/g1/csv/231004/anse_kabanse_R_001__A459.csv,false,anse_kabanse_R_001__A459,false,playing anse kabanse game,"A person is playing anse kabanse game, clapping their hands while standing still."
D,MimicAirplane,비행기 놀이,the_airplane_002__A492,3,restricted,contact; llm_false,the_airplane_002__A492,the_airplane_002__A492,943,Communication,Gestures,the_airplane_002,A492,seed/soma_uniform/bvh/231024/the_airplane_002__A492.bvh,true,seed/g1/csv/231024/the_airplane_002__A492.csv,false,the_airplane_002__A492,false,pretending to be a plane,"A person runs forward at a fast pace with their arms spread out, pretending to be a plane."
E,MimicBravo,정중한 박수,bravo_R_001__A431,1,safe,slot 13; first_cohort,bravo_R_001__A431,bravo_R_001__A431,1058,Communication,Gestures,bravo_R_001,A431,seed/soma_uniform/bvh/230713/bravo_R_001__A431.bvh,true,seed/g1/csv/230713/bravo_R_001__A431.csv,false,bravo_R_001__A431,false,clapping in approval,A person claps several times and then stands idle.
E,MimicCrowdCheer,큰 박수,crowd_cheer_001__A029,1,safe,slot 14,crowd_cheer_001__A029,crowd_cheer_001__A029,814,Communication,Communication,crowd_cheer_001,A029,seed/soma_uniform/bvh/220720/crowd_cheer_001__A029.bvh,true,seed/g1/csv/220720/crowd_cheer_001__A029.csv,false,crowd_cheer_001__A029,false,cheering in a crowd,A person waves their hands in excitement while cheering in a crowd.
E,MimicJumpForJoy,기쁨의 점프,jump_for_joy_R_002__A431,2,caution,slot 17,jump_for_joy_R_002__A431,jump_for_joy_R_002__A431,665,Communication,Gestures,jump_for_joy_R_002,A431,seed/soma_uniform/bvh/230713/jump_for_joy_R_002__A431.bvh,true,seed/g1/csv/230713/jump_for_joy_R_002__A431.csv,false,jump_for_joy_R_002__A431,false,jumps with joy,A person throws their right arm upwards and jumps in joy.
E,MimicTheRing,머리 위 원,the_ring_R_001__A429,2,safe,slot 16 candidate,the_ring_R_001__A429,the_ring_R_001__A429,1196,Communication,Gestures,the_ring_R_001,A429,seed/soma_uniform/bvh/230713/the_ring_R_001__A429.bvh,true,seed/g1/csv/230713/the_ring_R_001__A429.csv,false,the_ring_R_001__A429,false,ring with hands,"A person effortlessly moves up his arms on the top of the head, forming a ring shape and then lowers the hands by placing them on the sides and standing in an upright posture."
E,MimicChefsKiss,손키스,chefs_kiss_R_001__A051,2,safe,,chefs_kiss_R_001__A051,chefs_kiss_R_001__A051,502,Communication,Gestures,chefs_kiss_R_001,A051,seed/soma_uniform/bvh/221011/chefs_kiss_R_001__A051.bvh,true,seed/g1/csv/221011/chefs_kiss_R_001__A051.csv,false,chefs_kiss_R_001__A051,false,chef's kiss,The person standing in a normal stance performs a chef's kiss.
E,MimicKissingHands,손 뽀뽀 인사,kissing_hands_thanks_stadium_001__A042,2,safe,,kissing_hands_thanks_stadium_001__A042,m_kissing_hands_thanks_stadium_001__A042,901,Communication,Gestures,kissing_hands_thanks_stadium_001,A042,seed/soma_uniform/bvh/220728/m_kissing_hands_thanks_stadium_001__A042.bvh,true,seed/g1/csv/220728/m_kissing_hands_thanks_stadium_001__A042.csv,false,m_kissing_hands_thanks_stadium_001__A042,true,gesture of kiss sending by both hands,"The person sends kisses with their right hand, then with their left hand, and then stands upright."
F,MimicFear,놀람/무서움,neutral_fear_R_001__A545,2,safe,,neutral_fear_R_001__A545,neutral_fear_R_001__A545,491,Communication,Gestures,neutral_fear_R_001,A545,seed/soma_uniform/bvh/240529/neutral_fear_R_001__A545.bvh,true,seed/g1/csv/240529/neutral_fear_R_001__A545.csv,false,neutral_fear_R_001__A545,false,gesturing fear,A person suddenly bends down and fearfully raises their hands near the face.
F,MimicJustRealized,아차 하는 탄식,just_realized_R_001__A185,2,safe,,just_realized_R_001__A185,just_realised_R_001__A185,456,Communication,Gestures,just_realized_R_001,A185,seed/soma_uniform/bvh/230213/just_realised_R_001__A185.bvh,true,seed/g1/csv/230213/just_realised_R_001__A185.csv,false,just_realised_R_001__A185,true,just realized something,"A person standing realizes something, places the right hand on their head, and then lowers it down to their side."
F,MimicPrayer,간절한 기도,desperate_prayer_R_001__A432,2,safe,,desperate_prayer_R_001__A432,desperate_prayer_R_001__A432,875,Communication,Gestures,desperate_prayer_R_001,A432,seed/soma_uniform/bvh/230713/desperate_prayer_R_001__A432.bvh,true,seed/g1/csv/230713/desperate_prayer_R_001__A432.csv,false,desperate_prayer_R_001__A432,false,praying in desperation,"A person falls on their knees to pray desperately at a medium pace and then stands up straight, facing forward."
F,MimicTasty,배고파/맛있다,tasty_R_001__A118,2,safe,,tasty_R_001__A118,tasty_R_001__A118,404,Communication,Gestures,tasty_R_001,A118,seed/soma_uniform/bvh/230112/tasty_R_001__A118.bvh,true,seed/g1/csv/230112/tasty_R_001__A118.csv,false,tasty_R_001__A118,false,belly massage,A person standing massages their stomach steadily in a circular motion with their right hand.
F,MimicIGotThis,나만 믿어,i_got_this_001__A101,1,safe,first_cohort,i_got_this_001__A101,i_got_this_001__A101,393,Communication,Gestures,i_got_this_001,A101,seed/soma_uniform/bvh/230103/i_got_this_001__A101.bvh,true,seed/g1/csv/230103/i_got_this_001__A101.csv,false,i_got_this_001__A101,false,confident gesture,A person is raising both arms upward and swaying while making a gesture of confidence.
F,MimicFireSpurMe,의욕 충전,fire_spur_me_R_002__A429,2,safe,,fire_spur_me_R_002__A429,fire_spur_me_R_002__A429,833,Communication,Gestures,fire_spur_me_R_002,A429,seed/soma_uniform/bvh/230713/fire_spur_me_R_002__A429.bvh,true,seed/g1/csv/230713/fire_spur_me_R_002__A429.csv,false,fire_spur_me_R_002__A429,false,fist to the chest,"A person stands firmly, pressing their fist to the chest, and transitions into a wide, confident pose."
F,MimicWhatDoYouWant,뭔데?,what_do_you_want_R_002__A428,2,safe,,what_do_you_want_R_002__A428,what_do_you_want_R_002__A428,883,Communication,Gestures,what_do_you_want_R_002,A428,seed/soma_uniform/bvh/230713/what_do_you_want_R_002__A428.bvh,true,seed/g1/csv/230713/what_do_you_want_R_002__A428.csv,false,what_do_you_want_R_002__A428,false,asking what do you want,A person standing upright leans backward into an uncertain position with their arms held near their torso.
F,MimicDustBrushing,어깨 털기,boss_dust_brushing_R_001__A036,2,safe,,boss_dust_brushing_R_001__A036,boss_dust_brushing_001__A036,290,Communication,Gestures,boss_dust_brushing_R_001,A036,seed/soma_uniform/bvh/220721/boss_dust_brushing_001__A036.bvh,true,seed/g1/csv/220721/boss_dust_brushing_001__A036.csv,false,boss_dust_brushing_001__A036,true,boss brushing off dust,The person brushes off dust from their left shoulder using their right hand.
G,MimicBicepCheck,근육+시간체크,show_bicep_R_walk_arc_cw_start_R_checking_time_R_001__A472,3,caution,slot 20,show_bicep_R_walk_arc_cw_start_R_checking_time_R_001__A472,show_bicep_R_walk_arc_cw_start_R_checking_time_R_001__A472,1687,Locomotion,Basic Locomotion Neutral,show_bicep_R_walk_arc_cw_start_R_checking_time_R_001,A472,seed/soma_uniform/bvh/231010/show_bicep_R_walk_arc_cw_start_R_checking_time_R_001__A472.bvh,true,seed/g1/csv/231010/show_bicep_R_walk_arc_cw_start_R_checking_time_R_001__A472.csv,false,show_bicep_R_walk_arc_cw_start_R_checking_time_R_001__A472,false,flexes bicep then starts to walk in clockwise arc and checks time,A person standing straight raises their right arm to flex their biceps before walking clockwise and checking the time on the go.
G,MimicFlexOnEm,근육 자랑,flex_on_em_R_001__A529,2,safe,,flex_on_em_R_001__A529,flex_on_em_R_001__A529,679,Communication,Gestures,flex_on_em_R_001,A529,seed/soma_uniform/bvh/231121/flex_on_em_R_001__A529.bvh,true,seed/g1/csv/231121/flex_on_em_R_001__A529.csv,false,flex_on_em_R_001__A529,false,muscle tightening,A person quickly flexes their arm muscle while bending forward.
G,MimicTarzan,가슴 두드리기,tarzan_R_001__A098,2,caution,,tarzan_R_001__A098,tarzan_001__A098,671,Communication,Gestures,tarzan_R_001,A098,seed/soma_uniform/bvh/230103/tarzan_001__A098.bvh,true,seed/g1/csv/230103/tarzan_001__A098.csv,false,tarzan_001__A098,true,acting like tarzan,The person beats their hands on their chest while acting like tarzan.
G,MimicRockOut,에어기타,rock_out_002__A487,2,caution,,rock_out_002__A487,rock_out_002__A487,1825,Communication,Gestures,rock_out_002,A487,seed/soma_uniform/bvh/231019/rock_out_002__A487.bvh,true,seed/g1/csv/231019/rock_out_002__A487.csv,false,rock_out_002__A487,false,playing on a guitar flexing skills,A person raises the guitar over their head while playing it and flexing their skills.
G,MimicFancySpin,팬시한 턴,fancy_spin_R_001__A430,2,caution,,fancy_spin_R_001__A430,fancy_spin_R_001__A430,869,Communication,Gestures,fancy_spin_R_001,A430,seed/soma_uniform/bvh/230713/fancy_spin_R_001__A430.bvh,true,seed/g1/csv/230713/fancy_spin_R_001__A430.csv,false,fancy_spin_R_001__A430,false,character performs a fancy spin,"A person standing spins quickly in a circle, rotating over their right shoulder. Then they stop and stand idle."
H,MimicDanceBlindingLights,블라인딩 라이츠,dance_blinding_lights_004__A464,2,caution,slot 18/21 material,dance_blinding_lights_004__A464,dance_blinding_lights_004__A464,1586,Dances,Dancing,dance_blinding_lights_004,A464,seed/soma_uniform/bvh/231006/dance_blinding_lights_004__A464.bvh,true,seed/g1/csv/231006/dance_blinding_lights_004__A464.csv,false,dance_blinding_lights_004__A464,false,step dance facing forward,A person performs a dance routine by repeatedly crossing the right leg in front of the left leg and swinging the arms rhythmically. Then the person stands idle.
H,MimicDanceClick,클릭 댄스,dance_click_002__A465,2,caution,slot 18/21 material,dance_click_002__A465,dance_click_002__A465,553,Dances,Dancing,dance_click_002,A465,seed/soma_uniform/bvh/231006/dance_click_002__A465.bvh,true,seed/g1/csv/231006/dance_click_002__A465.csv,false,dance_click_002__A465,false,feet high five mid jump,"A person standing upright walks towards the right diagonal to perform a playful, energetic, feet-high five in mid-air."
H,MimicDanceFloss,플로스 댄스,dance_floss_002__A464,2,caution,slot 18/21 material,dance_floss_002__A464,dance_floss_002__A464,900,Dances,Dancing,dance_floss_002,A464,seed/soma_uniform/bvh/231006/dance_floss_002__A464.bvh,true,seed/g1/csv/231006/dance_floss_002__A464.csv,false,dance_floss_002__A464,false,floss,A person is performing floss moves.
H,MimicDanceGunslinger,건슬링어,dance_gunslinger_smokeshow_001__A464,2,caution,slot 18/21 material,dance_gunslinger_smokeshow_001__A464,dance_hit_it_002__A464,1602,Dances,Dancing,dance_gunslinger_smokeshow_001,A464,seed/soma_uniform/bvh/231006/dance_hit_it_002__A464.bvh,true,seed/g1/csv/231006/dance_hit_it_002__A464.csv,false,dance_hit_it_002__A464,true,imaginary gun dance,A person energetically performs a gun dance by turning to their left and right and then stops with a dance pose. They then stand straight.
H,MimicDanceFlintstones,킥볼체인지,dance_hiphop_flintstones_kick_ball_change_R_002__A311,3,caution,slot 18/21 material,dance_hiphop_flintstones_kick_ball_change_R_002__A311,dance_hiphop_flintstones_kick_ball_change_R_002__A311,914,Dances,Dancing,dance_hiphop_flintstones_kick_ball_change_R_002,A311,seed/soma_uniform/bvh/230412/dance_hiphop_flintstones_kick_ball_change_R_002__A311.bvh,true,seed/g1/csv/230412/dance_hiphop_flintstones_kick_ball_change_R_002__A311.csv,false,dance_hiphop_flintstones_kick_ball_change_R_002__A311,false,dancing hip hop flintstones kick ball change,A person performs the hiphop flintstones dance move four times and then stops.
H,MimicDanceHiphopShuffle,힙합 셔플,dance_hiphop_shuffle_R_001__A316,2,caution,slot 18/21 material,dance_hiphop_shuffle_R_001__A316,dance_hiphop_shuffle_R_001__A316,1035,Dances,Dancing,dance_hiphop_shuffle_R_001,A316,seed/soma_uniform/bvh/230413/dance_hiphop_shuffle_R_001__A316.bvh,true,seed/g1/csv/230413/dance_hiphop_shuffle_R_001__A316.csv,false,dance_hiphop_shuffle_R_001__A316,false,hip-hop dance shuffle,A person is energetically performing a hip-hop shuffle step by bending and stretching their legs and arms to both sides.
H,MimicDanceJazzHands,재즈핸즈,dance_jazz_hands_002__A464,2,safe,slot 18/21 material,dance_jazz_hands_002__A464,dance_jazz_hands_002__A464,890,Dances,Dancing,dance_jazz_hands_002,A464,seed/soma_uniform/bvh/231006/dance_jazz_hands_002__A464.bvh,true,seed/g1/csv/231006/dance_jazz_hands_002__A464.csv,false,dance_jazz_hands_002__A464,false,full turn around ends with hands shakes,A person energetically performs a full turnaround and then stands idle.
H,MimicDanceNinja,닌자 댄스,dance_ninja_style_003__A464,3,caution,slot 18/21 material,dance_ninja_style_003__A464,ninja_style_003__A464,1176,Dances,Dancing,dance_ninja_style_003,A464,seed/soma_uniform/bvh/231006/ninja_style_003__A464.bvh,true,seed/g1/csv/231006/ninja_style_003__A464.csv,false,ninja_style_003__A464,true,both hands pointing to sides dance,A person is performing a dance while turning to the sides and swaying their arms.
H,MimicDanceTakeTheL,테이크 더 엘,dance_take_the_l_001__A464,3,caution,slot 18/21 material,dance_take_the_l_001__A464,dance_take_the_l_001__A464,579,Dances,Dancing,dance_take_the_l_001,A464,seed/soma_uniform/bvh/231006/dance_take_the_l_001__A464.bvh,true,seed/g1/csv/231006/dance_take_the_l_001__A464.csv,false,dance_take_the_l_001__A464,false,fingers l to the forehead dance,A person energetically performs the fingers i to the forehead dance moves.
H,MimicDanceVogueDancehall,보그 댄스홀,dance_vogue_dancehall_open_close_270_R_001__A316,3,caution,slot 18/21 material,dance_vogue_dancehall_open_close_270_R_001__A316,dance_vouge_dancehall_open_close_270_R_001__A316,901,Dances,Dancing,dance_vogue_dancehall_open_close_270_R_001,A316,seed/soma_uniform/bvh/230413/dance_vouge_dancehall_open_close_270_R_001__A316.bvh,true,seed/g1/csv/230413/dance_vouge_dancehall_open_close_270_R_001__A316.csv,false,dance_vouge_dancehall_open_close_270_R_001__A316,true,vogue dance dancehall open close turning right,A person performs a vogue dance step while moving to their right.
H,MimicDanceVogueShake,보그 셰이크,dance_vogue_shake_it_babe_180_R_fast_001__A316,3,caution,slot 18/21 material,dance_vogue_shake_it_babe_180_R_fast_001__A316,dance_vouge_shake_it_babe_180_R_fast_001__A316,933,Dances,Dancing,dance_vogue_shake_it_babe_180_R_fast_001,A316,seed/soma_uniform/bvh/230413/dance_vouge_shake_it_babe_180_R_fast_001__A316.bvh,true,seed/g1/csv/230413/dance_vouge_shake_it_babe_180_R_fast_001__A316.csv,false,dance_vouge_shake_it_babe_180_R_fast_001__A316,true,quick vogue dance shake it babe facing forward,A person is walking forward with a quick and rhythmic motion and performing a quick vogue dance.
H,MimicDanceBodyPercussion,바디 퍼커션,dance_western_body_percussion_R_001__A306,2,caution,slot 18/21 material,dance_western_body_percussion_R_001__A306,dance_western_body_percussion_R_001__A306,669,Dances,Dancing,dance_western_body_percussion_R_001,A306,seed/soma_uniform/bvh/230411/dance_western_body_percussion_R_001__A306.bvh,true,seed/g1/csv/230411/dance_western_body_percussion_R_001__A306.csv,false,dance_western_body_percussion_R_001__A306,false,western dance body percussion,A person energetically performs a western dance with body percussion swiftly.
H,MimicMacarena,마카레나,macarena_001__A545,2,safe,slot 18/21 material,macarena_001__A545,macarena_001__A545,3303,Dances,Dancing,macarena_001,A545,seed/soma_uniform/bvh/240529/macarena_001__A545.bvh,true,seed/g1/csv/240529/macarena_001__A545.csv,false,macarena_001__A545,false,macarena dance,"The person performs the macarena-style dance with playful arm movements, rhythmic hip sways, and light synchronized footwork."
